STATIONS_ID;MESS_DATUM;QN_3;F;D;eor
        183;2021121005;   10;   3.0; 140;eor
        183;2021121006;   10;   2.7; 160;eor
        183;2021121007;   10;   2.9; 150;eor
        183;2021121008;   10;   2.8; 200;eor
        183;2021121009;   10;   2.7; 220;eor
        183;2021121010;   10;   2.7; 230;eor
        183;2021121011;   10;   2.5; 230;eor
        183;2021121012;   10;   3.1; 220;eor
        183;2021121013;   10;   3.0; 210;eor
        183;2021121014;   10;   3.1; 230;eor
        183;2021121015;   10;   3.9; 230;eor
        183;2021121016;   10;   3.7; 230;eor
        183;2021121017;   10;   2.7; 210;eor
        183;2021121018;   10;   3.3; 210;eor
        183;2021121019;   10;   4.3; 210;eor
        183;2021121020;   10;   5.1; 210;eor
        183;2021121021;   10;   4.3; 220;eor
        183;2021121022;   10;   4.0; 210;eor
        183;2021121023;   10;   4.8; 220;eor
        183;2021121100;   10;   4.7; 220;eor
        183;2021121101;   10;   4.6; 220;eor
        183;2021121102;   10;   5.7; 220;eor
        183;2021121103;   10;   5.8; 220;eor
        183;2021121104;   10;   6.2; 220;eor
        183;2021121105;   10;   6.4; 230;eor
        183;2021121106;   10;   6.2; 230;eor
        183;2021121107;   10;   5.4; 220;eor
        183;2021121108;   10;   4.3; 230;eor
        183;2021121109;   10;   6.0; 230;eor
        183;2021121110;   10;   6.3; 230;eor
        183;2021121111;   10;   6.7; 220;eor
        183;2021121112;   10;   6.6; 230;eor
        183;2021121113;   10;   7.2; 230;eor
        183;2021121114;   10;   7.4; 220;eor
        183;2021121115;   10;   6.4; 230;eor
        183;2021121116;   10;   7.8; 220;eor
        183;2021121117;   10;   7.4; 220;eor
        183;2021121118;   10;   8.1; 220;eor
        183;2021121119;   10;   8.7; 230;eor
        183;2021121120;   10;   6.0; 250;eor
        183;2021121121;   10;   4.8; 240;eor
        183;2021121122;   10;   4.4; 230;eor
        183;2021121123;   10;   5.1; 230;eor
        183;2021121200;   10;   5.5; 230;eor
        183;2021121201;   10;   5.6; 230;eor
        183;2021121202;   10;   4.6; 240;eor
        183;2021121203;   10;   3.7; 240;eor
        183;2021121204;   10;   5.2; 230;eor
        183;2021121205;   10;   6.7; 230;eor
        183;2021121206;   10;   7.3; 230;eor
        183;2021121207;   10;   7.6; 230;eor
        183;2021121208;   10;   8.5; 220;eor
        183;2021121209;   10;   7.9; 220;eor
        183;2021121210;   10;   7.6; 220;eor
        183;2021121211;   10;   7.5; 220;eor
        183;2021121212;   10;   6.6; 210;eor
        183;2021121213;   10;   7.5; 200;eor
        183;2021121214;   10;   7.3; 190;eor
        183;2021121215;   10;   7.4; 190;eor
        183;2021121216;   10;   8.2; 200;eor
        183;2021121217;   10;   8.1; 200;eor
        183;2021121218;   10;   7.7; 200;eor
        183;2021121219;   10;   7.6; 200;eor
        183;2021121220;   10;   7.3; 210;eor
        183;2021121221;   10;   6.6; 200;eor
        183;2021121222;   10;   7.2; 210;eor
        183;2021121223;   10;   6.7; 230;eor
        183;2021121300;   10;   5.6; 250;eor
        183;2021121301;   10;   7.6; 280;eor
        183;2021121302;   10;   7.0; 280;eor
        183;2021121303;   10;   6.0; 280;eor
        183;2021121304;   10;   6.3; 270;eor
        183;2021121305;   10;   5.6; 270;eor
        183;2021121306;   10;   6.4; 270;eor
        183;2021121307;   10;   5.3; 260;eor
        183;2021121308;   10;   5.3; 250;eor
        183;2021121309;   10;   5.2; 260;eor
        183;2021121310;   10;   2.7; 230;eor
        183;2021121311;   10;   3.0; 210;eor
        183;2021121312;   10;   4.0; 210;eor
        183;2021121313;   10;   4.4; 220;eor
        183;2021121314;   10;   4.3; 210;eor
        183;2021121315;   10;   5.6; 230;eor
        183;2021121316;   10;   5.7; 240;eor
        183;2021121317;   10;   5.8; 230;eor
        183;2021121318;   10;   5.8; 230;eor
        183;2021121319;   10;   5.9; 240;eor
        183;2021121320;   10;   6.1; 240;eor
        183;2021121321;   10;   7.4; 240;eor
        183;2021121322;   10;   7.4; 230;eor
        183;2021121323;   10;   7.6; 240;eor
        183;2021121400;   10;   7.8; 240;eor
        183;2021121401;   10;   7.4; 240;eor
        183;2021121402;   10;   8.4; 240;eor
        183;2021121403;   10;   9.2; 250;eor
        183;2021121404;   10;   8.8; 240;eor
        183;2021121405;   10;   9.2; 240;eor
        183;2021121406;   10;   9.6; 240;eor
        183;2021121407;   10;   8.6; 240;eor
        183;2021121408;   10;   8.7; 240;eor
        183;2021121409;   10;   9.3; 250;eor
        183;2021121410;   10;  10.5; 250;eor
        183;2021121411;   10;  10.2; 270;eor
        183;2021121412;   10;   4.4; 290;eor
        183;2021121413;   10;   4.5; 310;eor
        183;2021121414;   10;   3.8; 290;eor
        183;2021121415;   10;   4.7; 290;eor
        183;2021121416;   10;   4.8; 280;eor
        183;2021121417;   10;   4.7; 260;eor
        183;2021121418;   10;   4.2; 240;eor
        183;2021121419;   10;   5.3; 250;eor
        183;2021121420;   10;   6.3; 250;eor
        183;2021121421;   10;   6.2; 250;eor
        183;2021121422;   10;   6.4; 240;eor
        183;2021121423;   10;   6.6; 230;eor
        183;2021121500;   10;   7.2; 230;eor
        183;2021121501;   10;   6.9; 230;eor
        183;2021121502;   10;   7.4; 240;eor
        183;2021121503;   10;   8.6; 250;eor
        183;2021121504;   10;   7.9; 240;eor
        183;2021121505;   10;   7.6; 230;eor
        183;2021121506;   10;   6.7; 230;eor
        183;2021121507;   10;   6.8; 230;eor
        183;2021121508;   10;   8.9; 240;eor
        183;2021121509;   10;  10.0; 250;eor
        183;2021121510;   10;   9.6; 250;eor
        183;2021121511;   10;  11.3; 260;eor
        183;2021121512;   10;  12.3; 260;eor
        183;2021121513;   10;  10.9; 260;eor
        183;2021121514;   10;  11.2; 260;eor
        183;2021121515;   10;  12.3; 260;eor
        183;2021121516;   10;  12.3; 260;eor
        183;2021121517;   10;  12.5; 260;eor
        183;2021121518;   10;  11.6; 260;eor
        183;2021121519;   10;  11.0; 260;eor
        183;2021121520;   10;  11.3; 250;eor
        183;2021121521;   10;  11.4; 250;eor
        183;2021121522;   10;  12.1; 260;eor
        183;2021121523;   10;  12.3; 260;eor
        183;2021121600;   10;  11.8; 270;eor
        183;2021121601;   10;  10.2; 270;eor
        183;2021121602;   10;  10.5; 270;eor
        183;2021121603;   10;  11.0; 270;eor
        183;2021121604;   10;  11.0; 280;eor
        183;2021121605;   10;  11.5; 280;eor
        183;2021121606;   10;  11.1; 280;eor
        183;2021121607;   10;  10.7; 280;eor
        183;2021121608;   10;  11.4; 280;eor
        183;2021121609;   10;  10.7; 280;eor
        183;2021121610;   10;  10.9; 280;eor
        183;2021121611;   10;  10.9; 280;eor
        183;2021121612;   10;  12.1; 280;eor
        183;2021121613;   10;  11.2; 270;eor
        183;2021121614;   10;  10.4; 270;eor
        183;2021121615;   10;  10.4; 280;eor
        183;2021121616;   10;  10.3; 280;eor
        183;2021121617;   10;   9.7; 280;eor
        183;2021121618;   10;   8.6; 280;eor
        183;2021121619;   10;   8.5; 280;eor
        183;2021121620;   10;   8.2; 290;eor
        183;2021121621;   10;   7.4; 290;eor
        183;2021121622;   10;   7.9; 300;eor
        183;2021121623;   10;   7.6; 300;eor
        183;2021121700;   10;   7.3; 300;eor
        183;2021121701;   10;   7.2; 300;eor
        183;2021121702;   10;   6.9; 300;eor
        183;2021121703;   10;   7.9; 300;eor
        183;2021121704;   10;   8.6; 310;eor
        183;2021121705;   10;   7.9; 310;eor
        183;2021121706;   10;   7.0; 310;eor
        183;2021121707;   10;   6.0; 310;eor
        183;2021121708;   10;   6.5; 310;eor
        183;2021121709;   10;   6.5; 310;eor
        183;2021121710;   10;   6.5; 310;eor
        183;2021121711;   10;   5.9; 310;eor
        183;2021121712;   10;   4.9; 310;eor
        183;2021121713;   10;   6.0; 300;eor
        183;2021121714;   10;   6.5; 310;eor
        183;2021121715;   10;   7.1; 300;eor
        183;2021121716;   10;   6.9; 310;eor
        183;2021121717;   10;   5.6; 310;eor
        183;2021121718;   10;   5.1; 310;eor
        183;2021121719;   10;   5.2; 310;eor
        183;2021121720;   10;   4.4; 310;eor
        183;2021121721;   10;   4.2; 300;eor
        183;2021121722;   10;   3.8; 290;eor
        183;2021121723;   10;   4.0; 300;eor
        183;2021121800;   10;   5.0; 280;eor
        183;2021121801;   10;   6.3; 280;eor
        183;2021121802;   10;   5.9; 280;eor
        183;2021121803;   10;   6.9; 280;eor
        183;2021121804;   10;   7.8; 280;eor
        183;2021121805;   10;   8.1; 280;eor
        183;2021121806;   10;   9.5; 280;eor
        183;2021121807;   10;   9.3; 280;eor
